day	habitat	location	ID	status	time	timeday
8/15/2023	urban 	ciudad del saber	saber2	0	120	midday
8/15/2023	urban 	ciudad del saber	saber2	0	120	midday
8/15/2023	urban 	ciudad del saber	saber2	0	120	midday
8/15/2023	urban 	ciudad del saber	saber3	1	5	morning
8/15/2023	urban 	ciudad del saber	saber3	1	10	morning
8/15/2023	urban 	ciudad del saber	saber3	1	10	morning
8/15/2023	urban 	ciudad del saber	saber3	1	25	morning
8/15/2023	urban 	ciudad del saber	saber3	0	120	morning
8/15/2023	urban 	ciudad del saber	saber3	0	120	morning
8/15/2023	urban 	ciudad del saber	saber3	0	120	morning
8/15/2023	urban 	ciudad del saber	saber3	0	120	morning
8/15/2023	urban 	ciudad del saber	saber3	0	120	morning
8/15/2023	urban 	ciudad del saber	saber3	0	120	morning
8/15/2023	urban 	ciudad del saber	saber4	0	120	midday
8/15/2023	urban 	ciudad del saber	saber4	0	120	midday
8/15/2023	urban 	ciudad del saber	saber4	0	120	midday
8/15/2023	urban 	ciudad del saber	saber4	0	120	midday
8/15/2023	urban 	ciudad del saber	saber4	0	120	midday
8/15/2023	urban 	ciudad del saber	saber4	0	120	midday
8/15/2023	urban 	ciudad del saber	saber4	0	120	midday
8/15/2023	urban 	ciudad del saber	saber4	0	120	midday
8/15/2023	urban 	ciudad del saber	saber4	0	120	midday
8/15/2023	urban 	ciudad del saber	saber4	0	120	midday
8/15/2023	urban 	ciudad del saber	saber5	0	120	morning
8/15/2023	urban 	ciudad del saber	saber5	0	120	morning
8/15/2023	urban 	ciudad del saber	saber5	0	120	morning
8/15/2023	urban 	ciudad del saber	saber5	0	120	morning
8/15/2023	urban 	ciudad del saber	saber5	0	120	morning
8/15/2023	urban 	ciudad del saber	saber5	0	120	morning
8/15/2023	urban 	ciudad del saber	saber5	0	120	morning
8/15/2023	urban 	ciudad del saber	saber5	0	120	morning
8/15/2023	urban 	ciudad del saber	saber5	0	120	morning
8/15/2023	urban 	ciudad del saber	saber5	0	120	morning
8/15/2023	urban 	ciudad del saber	saber6	0	120	midday
8/15/2023	urban 	ciudad del saber	saber6	0	120	midday
8/15/2023	urban 	ciudad del saber	saber6	0	120	midday
8/15/2023	urban 	ciudad del saber	saber6	0	120	midday
8/15/2023	urban 	ciudad del saber	saber6	0	120	midday
8/15/2023	urban 	ciudad del saber	saber6	0	120	midday
8/15/2023	urban 	ciudad del saber	saber6	0	120	midday
8/15/2023	urban 	ciudad del saber	saber6	0	120	midday
8/15/2023	urban 	ciudad del saber	saber6	0	120	midday
8/15/2023	urban 	ciudad del saber	saber6	0	120	midday
8/15/2023	urban 	ciudad del saber	saber7	1	15	morning
8/15/2023	urban 	ciudad del saber	saber7	1	95	morning
8/15/2023	urban 	ciudad del saber	saber7	1	100	morning
8/15/2023	urban 	ciudad del saber	saber7	1	110	morning
8/15/2023	urban 	ciudad del saber	saber7	0	120	morning
8/15/2023	urban 	ciudad del saber	saber7	0	120	morning
8/15/2023	urban 	ciudad del saber	saber7	0	120	morning
8/15/2023	urban 	ciudad del saber	saber7	0	120	morning
8/15/2023	urban 	ciudad del saber	saber7	0	120	morning
8/15/2023	urban 	ciudad del saber	saber7	0	120	morning
8/15/2023	urban 	ciudad del saber	saber8	0	120	midday
8/15/2023	urban 	ciudad del saber	saber8	0	120	midday
8/15/2023	urban 	ciudad del saber	saber8	0	120	midday
